"","FALSE","TRUE"
"Annelida_Clitellata",2,1
"Annelida_Polychaeta",12,35
"Arthropoda_Arachnida",1,2
"Arthropoda_Hexanauplia",4,16
"Arthropoda_Insecta",1,0
"Arthropoda_Malacostraca",32,39
"Arthropoda_Ostracoda",0,3
"Arthropoda_Pycnogonida",4,2
"Bryozoa_Gymnolaemata",1,5
"Chaetognatha_Sagittoidea",0,2
"Chordata_Actinopterygii",13,48
"Chordata_Ascidiacea",8,3
"Chordata_Elasmobranchii",2,6
"Chordata_Mammalia",0,2
"Chordata_Reptilia",1,1
"Cnidaria_Anthozoa",7,19
"Cnidaria_Cubozoa",1,0
"Cnidaria_Hydrozoa",3,10
"Cnidaria_Scyphozoa",2,12
"Echinodermata_Asteroidea",1,9
"Echinodermata_Crinoidea",0,2
"Echinodermata_Echinoidea",2,3
"Echinodermata_Holothuroidea",2,0
"Echinodermata_Ophiuroidea",3,3
"Gastrotricha_NA",1,0
"Mollusca_Bivalvia",2,13
"Mollusca_Cephalopoda",1,3
"Mollusca_Gastropoda",30,46
"Mollusca_Polyplacophora",0,1
"NA_NA",0,3
"Nematoda_Chromadorea",2,4
"Nematoda_Enoplea",0,1
"Nemertea_Hoplonemertea",1,9
"Nemertea_Palaeonemertea",0,3
"Nemertea_Pilidiophora",1,2
"Platyhelminthes_NA",2,2
"Porifera_Calcarea",2,1
"Porifera_Demospongiae",5,9
"Porifera_Homoscleromorpha",2,0
"Rotifera_Eurotatoria",0,1
"Sipuncula_Phascolosomatidea",0,2
"Sipuncula_Sipunculidea",1,2
