"","Diag_morphoDiff","No_morphoDiff","Statistic_morphoDiff","Allopatric","Sympatric","Sympatric, Allopatric","Eco_diff_F","Eco_diff_T","larv.pktro_F","larv.pktro_T","larv.leci_F","larv.leci_T","larv.dd_F","larv.dd_T","larv.pel_F","larv.pel_T","HKK.1","HKK.5","HKK.10","HKK.25","HKK.100","HKK.1000","Rocky","Sediment","Sediment and Rocky"
"Annelida",14,17,19,36,30,3,2,14,77,50,119,8,112,15,108,19,5,22,19,77,8,0,16,51,3
"Arthropoda",42,16,46,51,41,5,7,21,101,55,155,1,105,51,115,41,0,35,56,39,13,28,29,22,3
"Bryozoa",1,1,4,5,3,0,0,2,7,3,5,5,10,0,9,1,0,3,1,7,0,0,7,1,0
"Chaetognatha",0,2,0,1,1,0,0,0,3,0,3,0,1,2,1,2,0,0,0,0,0,3,0,0,0
"Chordata",24,16,44,52,37,5,4,15,78,101,167,12,166,13,115,64,0,10,69,30,7,57,26,17,2
"Cnidaria",13,16,25,33,29,3,4,15,98,21,71,48,108,11,90,29,0,12,45,23,14,30,33,3,1
"Cycliophora",0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"Echinodermata",8,5,12,20,12,2,2,8,37,27,51,13,50,14,54,10,0,14,8,32,11,1,13,14,3
"Gastrotricha",1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0
"Hemichordata",0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0
"Kinorhyncha",0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0
"Mollusca",33,37,26,57,46,8,7,27,123,68,168,23,148,43,166,25,1,38,48,58,35,11,43,43,7
"Nematoda",2,4,1,7,0,0,2,2,5,0,5,0,0,5,5,0,0,2,3,2,0,0,0,6,0
"Nemertea",2,12,2,4,3,0,0,1,17,1,16,2,17,1,17,1,0,6,0,12,0,0,1,17,0
"Platyhelminthes",2,0,2,1,2,1,0,2,5,0,5,0,1,4,5,0,0,2,2,1,0,0,0,4,1
"Porifera",9,6,4,10,7,0,2,7,18,2,6,14,18,2,20,0,3,1,4,14,1,0,10,0,0
"Rotifera",0,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0
"Sipuncula",1,4,0,0,1,0,0,0,3,7,10,0,10,0,7,3,0,1,2,7,0,0,0,8,0
"Tardigrada",0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0
