"","Name","Trop","NTemp","NPol","STemp","SPol"
"sprowocc","Alpheus soror","FALSE","FALSE","FALSE","FALSE","FALSE"
"sprowocc","Alpheus wonkimi","FALSE","FALSE","FALSE","FALSE","FALSE"
"sprowocc","Hemimysis margalefi","FALSE","FALSE","FALSE","FALSE","FALSE"
"sprowocc","Leptochelia Africana","FALSE","FALSE","FALSE","FALSE","FALSE"
"sprowocc","Auritoglyptes bicornis","FALSE","FALSE","FALSE","FALSE","FALSE"
"sprowocc","Armatoglyptes habei","FALSE","FALSE","FALSE","FALSE","FALSE"
"sprowocc","Trevathana dentata","TRUE","FALSE","FALSE","FALSE","FALSE"
"sprowocc","Neotrevathana elongata","TRUE","FALSE","FALSE","FALSE","FALSE"
"sprowocc","Atherina boyeri","FALSE","TRUE","FALSE","FALSE","TRUE"
"sprowocc","Rypticus saponaceous","FALSE","FALSE","FALSE","FALSE","FALSE"
"sprowocc","Pycnoclavella brava","FALSE","FALSE","FALSE","FALSE","FALSE"
"sprowocc","Mussismilia hartii","FALSE","FALSE","FALSE","FALSE","FALSE"
"sprowocc","Clavactinia serrata","FALSE","FALSE","FALSE","FALSE","FALSE"
"sprowocc","Bouillonactinia carcinicola","FALSE","FALSE","FALSE","FALSE","FALSE"
"sprowocc","Stylactis serrata","FALSE","FALSE","FALSE","FALSE","FALSE"
"sprowocc","Abditoconus brava","FALSE","FALSE","FALSE","FALSE","FALSE"
"sprowocc","Crepipatella peruviana","FALSE","FALSE","FALSE","TRUE","FALSE"
"sprowocc","Crepipatella occulta","FALSE","FALSE","FALSE","FALSE","FALSE"
"sprowocc","Echinolittorina pascua","TRUE","TRUE","FALSE","TRUE","FALSE"
"sprowocc","Gemmula monolifera","FALSE","FALSE","FALSE","FALSE","FALSE"
"sprowocc","Melanochlamys lorrainae","FALSE","FALSE","FALSE","FALSE","FALSE"
"sprowocc","Nassarius festina","FALSE","FALSE","FALSE","FALSE","FALSE"
"sprowocc","Lepidochitona pseudoliozonis","FALSE","FALSE","FALSE","FALSE","FALSE"
"sprowocc","Macintoshi lactea","FALSE","FALSE","FALSE","FALSE","FALSE"
"sprowocc","Parmula parmula","FALSE","FALSE","FALSE","FALSE","FALSE"
"sprowocc","Ototyphlonemertes santacruzensis","FALSE","FALSE","FALSE","FALSE","FALSE"
"sprowocc","Cephalothrix alba","FALSE","FALSE","FALSE","FALSE","FALSE"
"sprowocc","Phascolosoma agassizi","FALSE","FALSE","FALSE","FALSE","FALSE"
"sprowocc","Themiste pyroides","FALSE","FALSE","FALSE","FALSE","FALSE"
