phylum_class;Class;Phylum;ferti;genitals;image;hard_skeleton;Vision_type_adults
Acanthocephala_Eoacanthocephala;Eoacanthocephala;Acanthocephala;I;Y;N;N;N
Acanthocephala_Palaeacanthocephala;Palaeacanthocephala;Acanthocephala;I;Y;N;N;N
Annelida_;;Annelida;;;;N;
Annelida_Clitellata;Clitellata;Annelida;E;N;N;N;pigment_cup
Annelida_Polychaeta;Polychaeta;Annelida;B;N;N;N;pigment_cup
Arthropoda_Arachnida;Arachnida;Arthropoda;I;Y;Y;Y;lens
Arthropoda_Branchiopoda;Branchiopoda;Arthropoda;I;Y;Y;Y;compound
Arthropoda_Cephalocarida;Cephalocarida;Arthropoda;I;Y;N;Y;N
Arthropoda_Chilopoda;Chilopoda;Arthropoda;I;Y;N;Y;photosensitive
Arthropoda_Collembola;Collembola;Arthropoda;I;Y;N;Y;photosensitive
Arthropoda_Copepoda;Copepoda;Arthropoda;I;Y;N;Y;photosensitive
Arthropoda_Diplopoda;Diplopoda;Arthropoda;I;Y;N;Y;photosensitive
Arthropoda_Ichthyostraca;Ichthyostraca;Arthropoda;I;Y;N;Y;N
Arthropoda_Insecta;Insecta;Arthropoda;I;Y;Y;Y;compound
Arthropoda_Malacostraca;Malacostraca;Arthropoda;I;Y;Y;Y;compound
Arthropoda_Merostomata;Merostomata;Arthropoda;E;N;Y;Y;compound
Arthropoda_Ostracoda;Ostracoda;Arthropoda;I;Y;N;Y;photosensitive
Arthropoda_Pauropoda;Pauropoda;Arthropoda;I;Y;N;Y;N
Arthropoda_Pycnogonida;Pycnogonida;Arthropoda;E;N;N;Y;photosensitive
Arthropoda_Remipedia;Remipedia;Arthropoda;I;Y;N;Y;N
Arthropoda_Symphyla;Symphyla;Arthropoda;I;N;N;Y;N
Arthropoda_Tantulocarida;Tantulocarida;Arthropoda;I;Y;N;Y;N
Arthropoda_Thecostraca;Thecostraca;Arthropoda;I;Y;N;Y;N
Brachiopoda_Craniata;Craniata;Brachiopoda;E;N;N;Y;N
Brachiopoda_Lingulata;Lingulata;Brachiopoda;E;N;N;Y;N
Brachiopoda_Rhynchonellata;Rhynchonellata;Brachiopoda;E;N;N;Y;N
Bryozoa_Gymnolaemata;Gymnolaemata;Bryozoa;I;N;N;Y;N
Bryozoa_Phylactolaemata;Phylactolaemata;Bryozoa;I;N;N;N;N
Bryozoa_Stenolaemata;Stenolaemata;Bryozoa;I;N;N;Y;N
Chaetognatha_Sagittoidea;Sagittoidea;Chaetognatha;I;N;N;N;pigment_cup
Chordata_Actinopterygii;Actinopterygii;Chordata;E;N;Y;Y;image
Chordata_Appendicularia;Appendicularia;Chordata;E;N;N;N;N
Chordata_Ascidiacea;Ascidiacea;Chordata;B;N;N;N;N
Chordata_Aves;Aves;Chordata;I;N;Y;Y;image
Chordata_Coelacanthi;Coelacanthi;Chordata;I;N;Y;Y;image
Chordata_Elasmobranchii;Elasmobranchii;Chordata;I;Y;Y;Y;image
Chordata_Holocephali;Holocephali;Chordata;I;Y;Y;Y;image
Chordata_Leptocardii;Leptocardii;Chordata;E;N;N;N;photosensitive
Chordata_Mammalia;Mammalia;Chordata;I;Y;Y;Y;image
Chordata_Myxini;Myxini;Chordata;E;N;N;N;photosensitive
Chordata_Petromyzonti;Petromyzonti;Chordata;E;N;Y;Y;image
Chordata_Reptilia;Reptilia;Chordata;I;Y;Y;Y;image
Chordata_Thaliacea;Thaliacea;Chordata;I;N;N;N;N
Cnidaria_Anthozoa;Anthozoa;Cnidaria;E;N;N;Y;N
Cnidaria_Cnidaria incertae sedis;Cnidaria incertae sedis;Cnidaria;NA;NA;U;U;U
Cnidaria_Cubozoa;Cubozoa;Cnidaria;I;N;N;N;camera
Cnidaria_Hydrozoa;Hydrozoa;Cnidaria;E;N;N;N;pigment_cup
Cnidaria_Myxozoa;Myxozoa;Cnidaria;E;N;N;N;N
Cnidaria_Scyphozoa;Scyphozoa;Cnidaria;E;N;N;N;pigment_cup
Cnidaria_Staurozoa;Staurozoa;Cnidaria;E;N;N;N;N
Ctenophora_Nuda;Nuda;Ctenophora;E;N;N;N;N
Ctenophora_Tentaculata;Tentaculata;Ctenophora;E;N;N;N;N
Cycliophora_Eucycliophora;Eucycliophora;Cycliophora;I;N;N;N;N
Dicyemida_Rhombozoa;Rhombozoa;Dicyemida;I;N;N;N;N
Echinodermata_Asteroidea;Asteroidea;Echinodermata;E;N;N;Y;photosensitive
Echinodermata_Crinoidea;Crinoidea;Echinodermata;E;N;N;Y;N
Echinodermata_Echinoidea;Echinoidea;Echinodermata;E;N;N;Y;N
Echinodermata_Holothuroidea;Holothuroidea;Echinodermata;E;N;N;Y;N
Echinodermata_Ophiuroidea;Ophiuroidea;Echinodermata;E;N;N;Y;N
Entoprocta_;;Entoprocta;I;N;N;N;
Gnathostomulida_;;Gnathostomulida;I;Y;N;N;
Gastrotricha_;;Gastrotricha;I;Y;N;N;
Hemichordata_Enteropneusta;Enteropneusta;Hemichordata;E;N;N;N;N
Hemichordata_Graptolithoidea;Graptolithoidea;Hemichordata;I;N;N;N;N
Kinorhyncha_;;Kinorhyncha;I;Y;N;Y;
Mollusca_Bivalvia;Bivalvia;Mollusca;E;N;N;Y;lens
Mollusca_Caudofoveata;Caudofoveata;Mollusca;E;N;N;N;N
Mollusca_Cephalopoda;Cephalopoda;Mollusca;I;Y;Y;Y;image
Mollusca_Gastropoda;Gastropoda;Mollusca;B;B;Y;Y;lens
Mollusca_Mollusca incertae sedis;Mollusca incertae sedis;Mollusca;NA;NA;U;U;U
Mollusca_Monoplacophora;Monoplacophora;Mollusca;E;N;N;Y;N
Mollusca_Polyplacophora;Polyplacophora;Mollusca;E;N;N;Y;photosensitive
Mollusca_Scaphopoda;Scaphopoda;Mollusca;E;N;N;Y;N
Mollusca_Solenogastres;Solenogastres;Mollusca;I;N;N;N;N
Nematoda_Chromadorea;Chromadorea;Nematoda;I;Y;N;N;N
Nematoda_Enoplea;Enoplea;Nematoda;I;Y;N;N;pigment_cup
Nematoda_Nematoda incertae sedis;Nematoda incertae sedis;Nematoda;NA;NA;U;N;U
Nemertea_Hoplonemertea;Hoplonemertea;Nemertea;E;N;N;N;pigment_cup
Nemertea_Nemertea incertae sedis;Nemertea incertae sedis;Nemertea;NA;NA;N;N;pigment_cup
Nemertea_Palaeonemertea;Palaeonemertea;Nemertea;E;N;N;N;pigment_cup
Nemertea_Pilidiophora;Pilidiophora;Nemertea;E;N;N;N;pigment_cup
Platyhelminthes_Cestoda;Cestoda;Platyhelminthes;I;Y;N;N;N
Platyhelminthes_Monogenea;Monogenea;Platyhelminthes;I;Y;N;N;N
Platyhelminthes_Trematoda;Trematoda;Platyhelminthes;I;Y;N;N;pigment_cup
Platyhelminthes_;;Platyhelminthes;I;Y;N;N;
Porifera_Calcarea;Calcarea;Porifera;E;N;N;Y;N
Porifera_Demospongiae;Demospongiae;Porifera;E;N;N;Y;N
Porifera_Hexactinellida;Hexactinellida;Porifera;E;N;N;Y;N
Porifera_Homoscleromorpha;Homoscleromorpha;Porifera;E;N;N;Y;N
Porifera_Porifera incertae sedis;Porifera incertae sedis;Porifera;NA;NA;N;Y;N
Rotifera_Eurotatoria;Eurotatoria;Rotifera;I;Y;N;N;photosensitive
Rotifera_Pararotatoria;Pararotatoria;Rotifera;I;Y;N;N;photosensitive
Sipuncula_Phascolosomatidea;Phascolosomatidea;Sipuncula;E;N;N;N;pigment_cup
Sipuncula_Sipunculidea;Sipunculidea;Sipuncula;E;N;N;N;pigment_cup
Tardigrada_Eutardigrada;Eutardigrada;Tardigrada;I;N;N;N;photosensitive
Tardigrada_Heterotardigrada;Heterotardigrada;Tardigrada;I;N;N;N;photosensitive
Xenacoelomorpha_;;Xenacoelomorpha;I;Y;N;N;
