"","Var1","Freq"
"1","",30
"2","Arachnida",2
"3","Ascidiacea",118
"4","Asteroidea",10
"5","Aves",1
"6","Bivalvia",295
"7","Branchiopoda",5
"8","Calcarea",1
"9","Cephalopoda",10
"10","Chondrostei",6
"11","Chromadorea",3
"12","Clitellata",14
"13","Copepoda",114
"14","Cubozoa",1
"15","Demospongiae",47
"16","Echinoidea",4
"17","Elasmobranchii",20
"18","Eurotatoria",1
"19","Gastropoda",413
"20","Gymnolaemata",160
"21","Hexacorallia",26
"22","Hexapoda",8
"23","Holothuroidea",2
"24","Hydrozoa",130
"25","Lingulata",1
"26","Malacostraca",382
"27","Mammalia",3
"28","Merostomata",1
"29","Monogenea",17
"30","Nuda",2
"31","Octocorallia",6
"32","Ophiuroidea",9
"33","Ostracoda",5
"34","Palaeonemertea",1
"35","Pilidiophora",1
"36","Polychaeta",301
"37","Polyplacophora",15
"38","Pycnogonida",14
"39","Sagittoidea",3
"40","Scyphozoa",15
"41","Stenolaemata",8
"42","Teleostei",456
"43","Tentaculata",3
"44","Thecostraca",41
"45","Trematoda",11
