V1,V2,V3,V4
Elasmobranchii,10,1218,0.354679803
Thecostraca,11,1495,0.780602007
Hoplonemertea,11,675,0.816296296
Scyphozoa,12,223,0.600896861
Demospongiae,14,7478,0.859320674
Asteroidea,15,1911,0.751962323
Ascidiacea,16,2934,0.892638037
Cephalopoda,21,823,0.465370595
Copepoda,24,10888,0.915227774
Ophiuroidea,27,2096,0.707061069
Bivalvia,32,8350,0.810898204
Anthozoa,42,7197,0.719327498
Hydrozoa,55,3720,0.765322581
Malacostraca,99,32573,0.818561385
Polychaeta,110,12022,0.845283647
Gastropoda,118,37786,0.85200868
Actinopterygii,137,16766,0.428665156
